Date,Open,High,Low,Volume,Close
8/31/2023,106.19,108.06,104.86,58918970,105.72
8/30/2023,105.402,107.67,104.5,54847350,106.59
8/29/2023,102.11,106.57,101.79,50850290,105.92
8/28/2023,103.47,104.07,100.8944,55386800,102.61
8/25/2023,101.165,104.12,99.58,74793090,102.25
8/24/2023,111.06,111.64,100.871,109179100,101.8
8/23/2023,105.65,110.08,105,54656330,109.43
8/22/2023,109.4,109.72,104.85,47335090,105.66
8/21/2023,106.2,108.54,105.67,49319240,108.22
8/18/2023,102.4,106.07,101.68,59916680,105.45
8/17/2023,107.62,107.85,104.1,59064280,104.44
8/16/2023,110.0863,110.4388,106.98,54327300,107.19
8/15/2023,111.99,113.18,110.17,53816570,111.35
8/14/2023,106.75,111.99,105.42,57421820,111.98
8/11/2023,108.85,109.07,106.48,55667750,107.57
8/10/2023,111.3,113.89,109.47,57297790,110.23
8/9/2023,112.89,113.15,108.78,56257070,110.47
8/8/2023,114.94,115.46,111.41,54141830,113.23
8/7/2023,116.36,119.08,115.49,65854770,116.81
8/4/2023,114.48,118.85,113.96,83169690,115.82
8/3/2023,108.95,114.96,108.95,90811560,113.15
8/2/2023,119.49,119.5,107.38,173372000,109.35
8/1/2023,114.26,118.19,113.16,97284730,117.6
7/31/2023,114.16,114.68,112.35,54187290,114.4
7/28/2023,113.38,114.86,112.44,55525970,112.96
7/27/2023,111.79,115.08,110.51,70677970,111.1
7/26/2023,111.91,112.36,109.3,51721690,110.09
7/25/2023,111.14,114.05,111,44916260,113
7/24/2023,110.617,111.31,108.55,45638000,110.61
7/21/2023,110.97,112.3,109.54,76815380,110.95
7/20/2023,114.96,115.05,109.24,76340400,110.25
7/19/2023,121.3,121.6699,115.55,70363050,116.43
7/18/2023,117.55,118.43,115.192,57980080,117.93
7/17/2023,115.95,118.8399,112.73,68593290,118.32
7/14/2023,116.17,122.12,115.25,91927200,115.94
7/13/2023,115.76,116.16,113.575,49206700,115.92
7/12/2023,112.89,115.3999,112.3101,57993090,114.58
7/11/2023,111.66,113.27,109.5,59899540,111.32
7/10/2023,113,113.61,109.88,49330200,113.58
7/7/2023,114.16,115.33,113.04,37211290,113.17
7/6/2023,112.07,113.79,110.31,42411840,113.48
7/5/2023,116.1,117.662,113.855,49501580,113.95
7/3/2023,115.16,116.73,114.51,31780660,115.82
6/30/2023,113.03,114.69,112.41,53378770,113.91
6/29/2023,112.065,112.7599,109.84,58347170,111.24
6/28/2023,108.21,111.78,107.63,67534130,110.17
6/27/2023,108.565,110.97,107.08,59381650,110.39
6/26/2023,110.95,112.55,107.2,68556980,107.51
6/23/2023,109.31,111.0957,107.46,73621950,110.01
6/22/2023,112.24,114,109.85,70754780,110.7
6/21/2023,118.485,119.1888,111.67,82835620,112.11
6/20/2023,119.085,121.75,117.7,58851780,118.93
6/16/2023,125.82,125.85,119.9,82007080,120.08
6/15/2023,125.39,125.7,122.26,85587120,124.24
6/14/2023,126.525,127.725,123.81,95888120,127.33
6/13/2023,132.32,132.83,122.45,132461900,124.53
6/12/2023,128.52,130.48,126.4,85673080,129.19
6/9/2023,123.57,127.25,123.55,75105040,124.92
6/8/2023,118.295,122.21,117.05,65246930,121.05
6/7/2023,124.025,125.34,117.07,81755150,117.83
6/6/2023,117.91,124.42,117.74,75257500,124.23
6/5/2023,116.59,119.32,116.42,52602860,117.93
6/2/2023,120.75,121.66,117.675,52382420,117.86
6/1/2023,117.29,121.28,116.6,66032920,119.47
5/31/2023,122.42,123.96,117.86,87552220,118.21
5/30/2023,130.415,130.79,123.51,98902280,125.27
5/26/2023,122.46,127.43,120.89,92922750,127.03
5/25/2023,117.305,120.69,115.8,108514700,120.35
5/24/2023,105.98,108.91,105.64,65910460,108.27
5/23/2023,107.25,110.99,107.19,73099110,108.12
5/22/2023,104.68,108.79,103.4923,65424230,108
5/19/2023,106.36,107.29,104.6201,67880220,105.82
5/18/2023,103.98,108.1,103.93,74338720,107.93
5/17/2023,101.79,104.14,100.05,75240890,103.75
5/16/2023,97.39,103.28,97.31,90622880,101.48
5/15/2023,95.2,97.43,93.45,51749210,97.4
5/12/2023,96.83,97.45,93.68,53829710,95.26
5/11/2023,98.155,99.19,96.14,57061030,97.1
5/10/2023,96.42,99.94,96.12,95619500,97.02
5/9/2023,94.89,96.16,93.4281,68674790,95.06
5/8/2023,89.99,95.655,89.17,95503220,95.04
5/5/2023,84.99,90.425,84.72,78491110,89.84
5/4/2023,81.57,91.64,81.11,122840500,86.61
5/3/2023,83.54,85.48,81.02,109482200,81.62
5/2/2023,89.32,90.455,88.12,70483510,89.91
5/1/2023,91.03,91.04,88.61,59358710,89.69
4/28/2023,87.02,89.75,86.44,50686050,89.37
4/27/2023,86.41,87.565,84.09,53087210,87.44
4/26/2023,86.51,87.35,85.32,47786560,85.94
4/25/2023,86.9,87.06,83.76,52771480,83.8
4/24/2023,88.11,88.64,86.34,40423790,87.57
4/21/2023,89.8,89.8,88.055,41118260,88.43
4/20/2023,88.825,91.5795,88.73,47082680,90.11
4/19/2023,88.51,90.54,88.22,37344500,89.94
4/18/2023,91.61,92.16,89.33,46246290,89.78
4/17/2023,90.23,90.69,88.3,47250780,89.87
4/14/2023,91.82,92.97,90.5,38734790,91.75
4/13/2023,92.79,93.16,91.83,40572480,92.09
4/12/2023,94.97,95,91.74,53383120,92.33
4/11/2023,96.06,96.07,92.69,51935800,94.03
4/10/2023,91.32,95.795,91.02,52536320,95.48
4/6/2023,91.47,92.9148,90.62,47778380,92.47
4/5/2023,94.35,94.5,91.36,52979280,92.56
4/4/2023,97.038,97.27,95.21,43195880,95.87
4/3/2023,96.695,96.79,94.81,50655330,96.56
3/31/2023,96.34,98.36,95.27,55861070,98.01
3/30/2023,98,99.53,97.25,59678530,97.88
3/29/2023,96.07,96.91,94.87,55325970,96.09
3/28/2023,96.77,96.94,92.87,59150100,94.56
3/27/2023,98.02,98.93,95.425,57461350,96.61
3/24/2023,99.18,99.52,96.74,64743700,97.95
3/23/2023,100.05,102.43,98.671,84088900,100.28
3/22/2023,95.65,101.7,95.64,110816300,97.58
3/21/2023,97,99.4646,93.64,85285330,95.93
3/20/2023,96.3,96.94,92.9,92008950,96.81
3/17/2023,96.66,98.75,95.9364,94080840,97.84
3/16/2023,89.72,96.69,89.02,115980600,96.6
3/15/2023,86.77,90.42,86.215,86177420,89.68
3/14/2023,83.67,88.3,83.59,66616320,87.45
3/13/2023,81.39,83.83,78.515,65269120,82.01
